,SKU,NAME,RRP 
,Clarinet Reeds,,
,D'Addario Organic Reserve,,
,"ODCR0320
ODCR1020 
ODCR0120-B25",D'Addario Organic Reserve Bb Clarinet Reeds - Strength 2,"Pack 3 - $24.99
Pack of 10 - $64.99
Pack of 25 - $145.99"
,"ODCR0325
ODCR1025
ODCR0125-B25",D'Addario Organic Reserve Bb Clarinet Reeds - Strength 2.5,"Pack 3 - $24.99
Pack of 10 - $64.99
Pack of 25 - $145.99"
,"ODCR0330
ODCR1030
ODCR0130-B25",D'Addario Organic Reserve Bb Clarinet Reeds - Strength 3,"Pack 3 - $24.99
Pack of 10 - $64.99
Pack of 25 - $145.99"
,"ODCR0335
ODCR1035
ODCR0135-B25",D'Addario Organic Reserve Bb Clarinet Reeds - Strength 3.5,"Pack 3 - $24.99
Pack of 10 - $64.99
Pack of 25 - $145.99"
,ODCR10355,D'Addario Organic Reserve Bb Clarinet Reeds - Strength 3.5+,Pack of 10 - $64.99
,ODCR1040,D'Addario Organic Reserve Bb Clarinet Reeds - Strength 4,Pack of 10 - $64.99
,ODCR10405,D'Addario Organic Reserve Bb Clarinet Reeds - Strength 4+,Pack of 10 - $64.99
,ODCR1045,D'Addario Organic Reserve Bb Clarinet Reeds - Strength 4.5,Pack of 10 - $64.99
,"ODCT0320
ODCT1020",D'Addario Organic Reserve Classic Bb Clarinet Reeds - Strength 2,"Pack of 3 - $27.99
Pack of 10 - $83.99"
,"ODCT0325
ODCT1025",D'Addario Organic Reserve Classic Bb Clarinet Reeds - Strength 2.5,"Pack of 3 - $27.99
Pack of 10 - $83.99"
,"ODCT0330
ODCT1030
ODCT0130-B25",D'Addario Organic Reserve Classic Bb Clarinet Reeds - Strength 3,"Pack of 3 - $27.99 
Pack of 10 - $83.99
Pack of 25 - $165.99"
,"ODCT0335
ODCT1035
ODCT0135-B25",D'Addario Organic Reserve Classic Bb Clarinet Reeds - Strength 3.5,"Pack of 3 - $27.99 
Pack of 10 - $83.99
Pack of 25 - $165.99"
,ODCT10355,D'Addario Organic Reserve Classic Bb Clarinet Reeds - Strength 3.5+,Pack of 10 - $83.99
,ODCT1040,D'Addario Organic Reserve Classic Bb Clarinet Reeds - Strength 4,Pack of 10 - $83.99
,ODCT10405,D'Addario Organic Reserve Classic Bb Clarinet Reeds - Strength 4+,Pack of 10 - $83.99
,ODCT1045,D'Addario Organic Reserve Classic Bb Clarinet Reeds - Strength 4.5,Pack of 10 - $83.99
,ODBR1020,D'Addario Organic Reserve Eb Clarinet Reeds - Strength 2,Pack of 10 - $68.99
,"ODBR0325
ODBR1025",D'Addario Organic Reserve Eb Clarinet Reeds - Strength 2.5,"Pack of 3 - $27.99
Pack of 10 - $68.99"
,"ODBR0330
ODBR1030",D'Addario Organic Reserve Eb Clarinet Reeds - Strength 3,"Pack of 3 - $27.99
Pack of 10 - $68.99"
,"ODBR0335
ODBR1035",D'Addario Organic Reserve Eb Clarinet Reeds - Strength 3.5,"Pack of 3 - $27.99
Pack of 10 - $68.99"
,ODBR10355,D'Addario Organic Reserve Eb Clarinet Reeds - Strength 3.5+,Pack of 10 - $68.99
,ODBR1040,D'Addario Organic Reserve Eb Clarinet Reeds - Strength 4,Pack of 10 - $68.99
,ODBR1045,D'Addario Organic Reserve Eb Clarinet Reeds - Strength 4.5,Pack of 10 - $68.99
,ODER0520,D'Addario Organic Reserve Bass Clarinet Reeds - Strength 2,Pack of 5 - $59.99
,ODER0525,D'Addario Organic Reserve Bass Clarinet Reeds - Strength 2.5,Pack of 5 - $59.99
,ODER0530,D'Addario Organic Reserve Bass Clarinet Reeds - Strength 3,Pack of 5 - $59.99
