,SKU,NAME,RRP 
,Brass Books,,
,Baritone Books,,
,W28BC,FESTIVAL SOLOS BARITONE BASS CLEF BK/CD,$34.95
,W28TC,FESTIVAL SOLOS BARITONE TREBLE CLEF BK/CD,$34.95
,W37BC,FESTIVAL SOLOS BK 2 BARITONE BC BK/CD,$34.95
,W37TC,FESTIVAL SOLOS BK 2 BARITONE TC BK/CD,$34.95
,GB866TC,Caprice  Baritone Tc Part,$4.95
,W39BC,STANDARD OF EXCELLENCE FESTIVAL SOLOS BOOK 3 - BARITONE BC,$34.95
,W39TC,STANDARD OF EXCELLENCE FESTIVAL SOLOS BOOK 3 - BARITONE TC,$34.95
,W77TC,BACH AND BEFORE FOR BAND - BOOK 2 - BARITONE T.C.,$19.95
,34BC,MASTER METHOD BK1 BARITONE BC,$15.95
,34TC,MASTER METHOD BK 1 BARITONE TC,$15.95
,37BC,MASTER METHOD BK 2 BARITONE BC,$10.95
,HMP83,Arias 3 For Baritone,$57.95
,CP6037,Peter Dawson - The Worlds Most Popular Baritone - Russell Smith & Peter Burgis,$39.95
,11672,MODERN GUITAR METHOD GR 2 CASSETTE,$13.95
,00-23173,Christmas Brass Ensembles  Baritone T.C.,$13.95
,29852,BEST OF BELWIN JAZZ YOUNG JAZZ COLLECTION 1ST BARITONE TC,$21.95
,29853,BEST OF BELWIN JAZZ YOUNG JAZZ COLLECTION 2ND BARITONE TC,$21.95
,00-34338,Best of Belwin Jazz Band Coll Ens Bk 1st Bari,$21.95
,00-34339,Best of Belwin Jazz Band Coll Ens Bk 2nd Bari,$21.95
,00-34340,Best of Belwin Jazz Band Coll Ens Bk 3rd Bari,$21.95
,34539,SOUND INNOVATIONS FOR CONCERT BAND BK 1 BARITONE BC (US),$29.95
,34540,SOUND INNOVATIONS FOR CONCERT BAND BK 1 BARITONE TC (US),$29.95
,40719,SI ENSEMBLE DEVELOPMENT YOUNG BAND BARITONE TC,$15.95
,43948,SI ENSEMBLE DEVELOPMENT ADVANCED BAND BARITONE BC,$23.95
,43949,SI ENSEMBLE DEVELOPMENT ADVANCED BAND BARITONE TC,$21.95
,00-B21112,Belwin 21st Century Band Method L1 Bk Bariton,$19.95
,00-B21113,Belwin 21st Century Band Method L1 Bk Bariton,$19.95
,00-B21212,Belwin 21st Century Band Method L2 Bk Bariton,$19.95
,00-B21213,Belwin 21st Century Band Method L2 Bk Bariton,$19.95
,00-BIC00161A,Student Instrumental Baritone B.C. St 1,$17.95
,00-BIC00162A,Student Instrumental Studes Etudes Bari BC 1,$15.95
,00-BIC00163A,Student Instrumental Tunes Baritone Tech 1,$15.95
,00-BIC00261A,Student Instrumental Baritone B.C. St 1I,$17.95
,00-BIC00262A,Student Instrumental Studes Etudes Bari BC 1I,$15.95
,00-BIC00361A,Student Instrumental Baritone B.C. St 1II,$17.95
,CBC00034,BAND TODAY BAR BC PT 1,$17.95
,CBC00035,BAND TODAY BAR TC PT 1,$17.95
,00-CBC00054,Technic Today Part 1 Bk Baritone B.C.,$15.95
,00-CBC00055,Technic Today Part 1 Bk Baritone T.C.,$15.95
,CBC00123,BAND TODAY BAR BC PT 2,$15.95
,CBC00124,BAND TODAY BAR TC PT 2,$15.95
,00-CBC00184,Technic Today Part 2 Bk Baritone B.C.,$15.95
,00-CBC00185,Technic Today Part 2 Bk Baritone T.C.,$15.95
,CBC00204,BAND TODAY BAR BC PT 3,$15.95
,CBC00205,BAND TODAY BAR TC PT 3,$15.95
,00-CBC00254,Technic Today Part 3 Bk Baritone B.C.,$15.95
,00-CBC00255,Technic Today Part 3 Bk Baritone T.C.,$15.95
,00-CHBK09623J,Scale Etudes Bk Baritone T.C.,$17.95
,00-CHBK09624I,Rhythm Etudes bk Baritone T.C. (B-flat Bass C,$19.95
,00-EL00272,Belwin Intermediate Band Meth Bk Baritone T.C,$17.95
,00-EL00273,Belwin Intermediate Band Meth Bk Baritone B.C,$17.95
,00-EL00467,Baritone B.C. Note Speller Bk Baritone B.C.,$15.95
,00-EL00558,101 Rhythmic Rest Patterns Bk Baritone B.C. &,$15.95
,00-EL00606,Belwin Band Builder Part 1 Bk Baritone (B.C.),$15.95
,00-EL01471,T-I-P-P-S for Bands Tone Bk Baritone (T.C.),$15.95
,00-EL01472,T-I-P-P-S for Bands Tone Bk Baritone (B.C.),$15.95
,00-EL01893,Treasury of Scales for Band Orch Bk Baritone,$13.95
,00-EL01894,Treasury of Scales for Band Orch Bk Baritone,$13.95
,00-EL02586,I Recommend Bk Baritone (B.C.),$17.95
,00-EL02587,I Recommend Bk Baritone (T.C.),$17.95
,EL02867,3-D BAND BOOK - BARITONE TC,$17.95
,00-EL02868,3-D Band Book Bk Baritone (B.C.),$17.95
,00-EL03188,Tone and Technique Bk Baritone (T.C.),$15.95
,00-EL03189,Tone and Technique Bk Baritone (B.C.),$15.95
