,SKU,NAME,RRP 
,Woodwinds,,
,Buffet Crampon,,
,BC2540N-5-0ABS,Buffet Crampon B12 Clarinet with hard plastic case,"$1,195.00"
,BC2540N-5-0GB,Buffet Crampon B12 Clarinet with back pack,"$1,195.00"
,BC2541-2-0GB,Buffet Crampon Prodige Bb Clarinet ,"$1,395.00"
,BC2512F-2-0GB,Buffet Crampon E12F Bb Clarinet ,"$3,295.00"
,BC2501-2-0GB,Buffet Crampon E11 Bb Clarinet ,"$2,695.00"
,BC2401-2-0,Buffet Crampon E11 A Clarinet ,"$4,095.00"
,BC2301-2-0W,Buffet Crampon E11 Eb Clarinet ,"$4,695.00"
,BC2201-2-0W,Buffet Crampon E11 C Clarinet ,"$4,695.00"
,BC1102C-2-0,Buffet Crampon E13 Bb Clarinet ,"$4,295.00"
,BC1202-2-0,Buffet Crampon E13 A Clarinet ,"$4,795.00"
,BC1180-2-0,Buffet Crampon Bass Clarient,"$13,995.00"
,BC8401-4-0,Buffet Crampon 400 Series Alto Saxophone Brushed Brass Finish,"$3,595.00"
,BC8401-1-0,Buffet Crampon 400 Series Alto Saxophone Lacquered Finish,"$3,595.00"
,BC8101-1-0,Buffet Crampon 100 Series Alto Saxophone Lacquered Finish,"$2,195.00"
,BC8301-1-0GB,Buffet Crampon Prodige Alto Saxophone Lacquered Finish,"$2,695.00"
,BC8402-4-0,Buffet Crampon 400 Series Tenor Saxophone Brushed Brass Finish,"$4,595.00"
,BC8402-1-0,Buffet Crampon 400 Series Tenor Saxophone Lacquered Finish,"$4,095.00"
,BC8102-1-0,Buffet Crampon 100 Series Tenor Saxophone Lacquered Finish,"$2,795.00"
,BC8403-1-0,Buffet Crampon 400 Series Baritone Saxophone Lacquered Finish,"$9,950.00"
,BC4062-2-0,Buffet Crampon Prodige - Conservatoire Oboe,"$9,395.00"
,BC4030-2-0,Buffet Crampon Prodige - Simplified Oboe,"$5,995.00"
,W.Schreiber Bassoons,,
,WS5010-2-0GB,W.Schreiber S10 Bassoon,"$17,995.00"
,WS5013-2-0,W.Schreiber S13 Bassoon,"$17,250.00"
,WS5016-2-0,W.Schreiber S16 Bassoon,"$18,995.00"
,Powell Flutes,,
,PS11CEA,Powell Sonare 101 Flute,"$1,095.00"
,Woodwind Mouthpieces,,
,Vandoren - Bb Clarinet Mouthpieces,,
,VACM308,Vandoren Traditional Bb Clarinet B45 Mouthpiece ,$305
,VACM312,Vandoren Traditional Bb Clarinet B45 Lyre Mouthpiece ,$305
,VACM310,Vandoren Traditional Bb Clarinet 5JB Mouthpiece ,$305
,VACM301,Vandoren Traditional Bb Clarinet 5RV Mouthpiece ,$305
,VACM302,Vandoren Traditional Bb Clarinet 5RV Lyre Mouthpiece ,$305
,VACM3007,Vandoren Traditional Bb Clarinet 7JB Mouthpiece ,$305
,VACM307,Vandoren Traditional Bb Clarinet B40 Mouthpiece ,$305
,VACM319,Vandoren Traditional Bb Clarinet B40 Lyre Mouthpiece ,$305
,VACM309,Vandoren Traditional Bb Clarinet B45 Dot Mouthpiece ,$305
,VACM318,Vandoren Traditional Bb Clarinet M30 Mouthpiece ,$305
