,SKU,NAME,RRP 
,Gard Bags,,
,Gard - Single Trumpet Gig Bags,,
,GATR1MLK ,Gard Single Trumpet Gig Bag - Leather Black,$385.00
,GATR1MLN ,Gard SIngle Trumpet Gig Bag - Leather Brown,$385.00
,GATR1MLT ,Gard SIngle Trumpet Gig Bag - Leather Tan,$385.00
,GATR1MLY ,Gard SIngle Trumpet Gig Bag - Leather Burgundy,$385.00
,GATR1MSK ,Gard SIngle Trumpet Gig Bag - Synthetic Black,$245.00
,GATR1DMSBY ,Gard SIngle Trumpet Gig Bag - Synthetic Burgundy,$265.00
,GATRP1MSK ,Gard Single Piccolo Trumpet Gig Bag - Synthetic Black,$195.00
,GATR8MLK,Gard Trumpet & Mute Gig Bag - Leather Black,$529.00
,GATR8MLN,Gard Trumpet & Mute Gig Bag - Leather Brown,$585.00
,GATR8MSK,Gard Trumpet & Mute Gig Bag - Synthetic Black,$365.00
,GATR8MLK,Gard Trumpet & Mute Gig Bag - Leather Black,$529.00
,GATR8MLN,Gard Trumpet & Mute Gig Bag - Leather Brown,$585.00
,GATR8MSK,Gard Trumpet & Mute Gig Bag - Synthetic Black,$365.00
,GATR1ELK,Gard Elite Single Trumpet Gig Bag - Leather Black/Tan,$539.00
,GATR1ESK,Gard Elite Single Trumpet Gig Bag - Synthetic Black/Tan,$385.00
,GATR1ELYB,Gard Elite Single Trumpet Gig Bag - Leather Blue w/ Tan Trim,$539.00
,GATR1ESNBLN,Gard Elite Single Trumpet Gig Bag - Synthetic Blue/Light Brown,$385.00
,GATR1ELCNK,Gard Elite Single Trumpet Gig Bag - Leather Dark Brown Gator w/ Black Trim,$565.00
,GATR1ELNNT,Gard Elite Single Trumpet Gig Bag - Leather Antique Natural Tan,$565.00
,GATR1ELKF,Gard Elite Single Trumpet Gig Bag - Leather Black,$595.00
,GATR1EULK,Gard Elite Single Trumpet Gig Bag - Leather Floater Black,$499.00
,GATR1EULN,Gard Elite Single Trumpet Gig Bag - Leather Floater Brown,$499.00
,Gard - Double Trumpet Gig Bags,,
,GATR4MCLK,Gard Compact Double Trumpet Gig Bag - Leather Black,$469.00
,GATR4MCSK,Gard Compact Double Trumpet Gig Bag - Synthetic Black,$289.00
,GATR4ECLK,Gard Elite Double Trumpet Gig Bag - Leather Black w/ Brown Trim,$595.00
,GATR4ECSK,Gard Elite Double Trumpet Gig Bag - Synthetic Black w/ Brown Trim,$419.00
,GATR4ECLKBY,Gard Elite Double Trumpet Gig Bag - Leather Black w/ Burgundy Trim,$595.00
,GATR4ECLN,Gard Elite Double Trumpet Gig Bag - Leather Brown w/ Tan Trim,$595.00
,GATR4ECLKNB,Gard Elite Double Trumpet Gig Bag - Leather Black Gator w/ Blue Trim,$619.00
,GATR4EHLK,Gard Elite Fibreglass Double Trumpet Compact Case - Black Leather with Tan Antique Leather Trim,"$1,099.00"
,GATR4EHLCNV,Gard Elite Fibreglass Compact Double Trumpet Case - Leather Chocolate Brown with Tan Trim,"$1,099.00"
,GATR4EHLUC,Gard Elite Fibreglass Double Trumpet Case - Leather Cherry Floater,"$1,159.00"
,GATR4EHSGC,Gard Elite Fibreglass Double Trumpet Case - Synthetic Gray with Cherry Leather Trim and Red Synthetic Highlights,$899.00
,GATR4EHSK,Gard Elite Fibreglass Double Trumpet Case - Synthetic Black with Antique Tan Leather Trim,$899.00
,GATR4EHSNBK,Gard Elite Fibreglass Double Trumpet Case - Synthetic Blue with Black Leather Trim and Yellow Synthetic Highlights,$899.00
